***** Interaction Log File *****
Date and time: 8/21/2018 12:33:03 AM
Condition: Haptics
3.62919, Start Task 1
t = 16.54229, Touch Down, x = 5.838754, y = -4.213192
t = 16.7114, Touch End, x = 1.725086, y = 2.819853
20.32906, Start Task 2
t = 21.17739, Touch Down, x = 0.4644468, y = -1.360164
t = 21.2274, Touch Move counter-clockwiseright, x = 0.5971451, y = -1.360164
t = 21.24773, Touch Move counter-clockwiseright, x = 1.061592, y = -1.227466
t = 21.27098, Touch Move counter-clockwiseright, x = 1.26064, y = -1.161116
t = 21.31525, Touch Move counter-clockwiseright, x = 1.725086, y = -1.028417
t = 21.35509, Touch Move counter-clockwiseright, x = 2.255882, y = -0.9620675
t = 21.38618, Touch Move counter-clockwiseright, x = 2.653979, y = -0.9288928
t = 21.40906, Touch Move counter-clockwiseright, x = 3.052076, y = -0.895718
t = 21.43389, Touch Move counter-clockwiseright, x = 3.450173, y = -0.895718
t = 21.45647, Touch Move counter-clockwiseright, x = 3.715571, y = -0.895718
t = 21.48009, Touch Move counter-clockwiseright, x = 4.113667, y = -0.8293684
t = 21.50338, Touch Move counter-clockwiseright, x = 4.47859, y = -0.8293684
t = 21.52517, Touch Move counter-clockwiseright, x = 4.677638, y = -0.7961936
t = 21.5478, Touch Move counter-clockwiseright, x = 4.876686, y = -0.7630189
t = 21.57042, Touch Move counter-clockwiseright, x = 4.976211, y = -0.7630189
t = 21.60202, Touch Move counter-clockwiseright, x = 5.075735, y = -0.6966695
t = 21.62426, Touch Move counter-clockwiseright, x = 5.10891, y = -0.6634948
t = 21.64757, Touch Move clockwiseright, x = 5.10891, y = -0.6303201
t = 21.67006, Touch Move counter-clockwiseright, x = 5.142085, y = -0.6303201
t = 21.69263, Touch Move clockwiseright, x = 5.142085, y = -0.5971454
t = 21.79731, Touch Move clockwiseright, x = 4.843512, y = -0.6966695
t = 21.81341, Touch Move clockwiseright, x = 4.611289, y = -0.7298442
t = 21.82998, Touch Move clockwiseright, x = 4.312716, y = -0.7630189
t = 21.85407, Touch Move clockwiseright, x = 3.84827, y = -0.8625433
t = 21.87668, Touch Move clockwiseright, x = 3.383823, y = -0.9620675
t = 21.9011, Touch Move clockwiseright, x = 2.919377, y = -1.094766
t = 21.92982, Touch Move clockwiseright, x = 2.521281, y = -1.161116
t = 21.95437, Touch Move clockwiseright, x = 2.123184, y = -1.161116
t = 21.97671, Touch Move clockwiseright, x = 1.857785, y = -1.127941
t = 22.00842, Touch Move clockwiseright, x = 1.326989, y = -0.9952422
t = 22.03647, Touch Move clockwiseright, x = 0.9288927, y = -0.8625433
t = 22.06645, Touch Move clockwiseright, x = 0.5639705, y = -0.7630189
t = 22.09333, Touch Move clockwiseright, x = 0.2322229, y = -0.6634948
t = 22.12357, Touch Move clockwiseright, x = -0.1326988, y = -0.4644462
t = 22.37271, Touch End, x = -0.09952419, y = 0.4644465
t = 23.66514, Touch Down, x = 5.307959, y = -4.345891
t = 23.76442, Touch End, x = -0.09952419, y = 0.4644465
25.07912, Start Task 3
