***** Interaction Log File *****
Date and time: 8/21/2018 8:59:16 AM
Condition: Haptics
t = 1.403993, Start Question 1
=============================================
t = 3.450498, Start Task 1
=============================================
t = 22.92459, Touch Move counter-clockwise right, x = 1.658737, y = -0.6966695
t = 22.94146, Touch Move counter-clockwise right, x = 1.924134, y = -0.7298442
t = 22.96091, Touch Move counter-clockwise right, x = 2.090008, y = -0.7630189
t = 22.97755, Touch Move counter-clockwise right, x = 2.189533, y = -0.7630189
t = 22.99425, Touch Move counter-clockwise right, x = 2.222708, y = -0.7630189
t = 23.01082, Touch Move counter-clockwise right, x = 2.255882, y = -0.7630189
t = 23.07709, Touch Move clockwise right, x = 1.990484, y = -0.7630189
t = 23.09365, Touch Move clockwise right, x = 1.559212, y = -0.7630189
t = 23.11901, Touch Move clockwise right, x = 0.8293681, y = -0.7630189
t = 23.14414, Touch Move clockwise right, x = 0.1658738, y = -0.7630189
t = 23.17023, Touch Move clockwise right, x = -0.4312717, y = -0.7630189
t = 23.19527, Touch Move clockwise right, x = -0.862543, y = -0.8293684
t = 23.21414, Touch Move clockwise right, x = -0.9952422, y = -0.8293684
t = 23.23081, Touch Move clockwise right, x = -1.127941, y = -0.8293684
t = 23.24736, Touch Move clockwise right, x = -1.194291, y = -0.8625433
t = 23.34668, Touch Move counter-clockwise right, x = -0.6966697, y = -0.7630189
t = 23.36325, Touch Move counter-clockwise right, x = -0.1326988, y = -0.6966695
t = 23.37981, Touch Move counter-clockwise right, x = 0.298573, y = -0.6966695
t = 23.39676, Touch Move counter-clockwise right, x = 0.7298443, y = -0.7298442
t = 23.41552, Touch Move counter-clockwise right, x = 1.127941, y = -0.7298442
t = 23.43437, Touch Move counter-clockwise right, x = 1.426514, y = -0.7298442
t = 23.45188, Touch Move counter-clockwise right, x = 1.691912, y = -0.7298442
t = 23.46844, Touch Move counter-clockwise right, x = 1.857785, y = -0.7630189
t = 23.48501, Touch Move counter-clockwise right, x = 1.990484, y = -0.7630189
t = 23.50158, Touch Move counter-clockwise right, x = 2.056834, y = -0.7630189
t = 23.51815, Touch Move counter-clockwise right, x = 2.090008, y = -0.7630189
t = 23.60098, Touch Move clockwise right, x = 1.725086, y = -0.7961936
t = 23.61785, Touch Move clockwise right, x = 1.094766, y = -0.7630189
t = 23.63886, Touch Move clockwise right, x = 0.4312713, y = -0.7630189
t = 23.65545, Touch Move clockwise right, x = 0.1990484, y = -0.7630189
t = 23.672, Touch Move clockwise right, x = -0.1326988, y = -0.7298442
t = 23.68856, Touch Move clockwise right, x = -0.4312717, y = -0.7298442
t = 23.70513, Touch Move clockwise right, x = -0.6303201, y = -0.7630189
t = 23.72212, Touch Move clockwise right, x = -0.7630189, y = -0.7630189
t = 23.74007, Touch Move clockwise right, x = -0.8293685, y = -0.8293684
t = 23.75896, Touch Move clockwise right, x = -0.862543, y = -0.8625433
t = 23.80866, Touch End, x = -0.862543, y = -0.8625433
t = 25.24996, Touch Down, x = 5.606531, y = -4.146842
t = 25.35048, Touch End, x = -0.862543, y = -0.8625433
t = 25.36706, Start Question 3
=============================================
t = 26.20148, Start Task 3
=============================================
t = 27.31476, Touch Down, x = -2.488106, y = -2.488105
t = 27.44729, Clicked Circuit 1
t = 27.44729, Touch End, x = 0, y = 0
t = 28.97451, Touch Down, x = 0.8625435, y = -2.355407
t = 29.09048, Clicked Circuit 2
t = 29.09048, Touch End, x = 0, y = 0
t = 30.54023, Touch Down, x = 1.227466, y = -0.5639707
t = 30.6232, Touch Move counter-clockwise right, x = 1.426514, y = -0.6634948
t = 30.63993, Touch Move counter-clockwise right, x = 1.725086, y = -0.6966695
t = 30.65649, Touch Move counter-clockwise right, x = 1.924134, y = -0.7298442
t = 30.67306, Touch Move counter-clockwise right, x = 2.090008, y = -0.7630189
t = 30.69261, Touch Move counter-clockwise right, x = 2.289057, y = -0.7630189
t = 30.71022, Touch Move counter-clockwise right, x = 2.45493, y = -0.7961936
t = 30.72679, Touch Move counter-clockwise right, x = 2.653979, y = -0.8293684
t = 30.74349, Touch Move counter-clockwise right, x = 2.919377, y = -0.895718
t = 30.75992, Touch Move counter-clockwise right, x = 3.184775, y = -0.9288928
t = 30.78108, Touch Move counter-clockwise right, x = 3.450173, y = -0.9952422
t = 30.79765, Touch Move counter-clockwise right, x = 3.682396, y = -1.061592
t = 30.81928, Touch Move counter-clockwise right, x = 3.980969, y = -1.094766
t = 30.83585, Touch Move counter-clockwise right, x = 4.080493, y = -1.094766
t = 30.85242, Touch Move counter-clockwise right, x = 4.279541, y = -1.094766
t = 30.86898, Touch Move counter-clockwise right, x = 4.445415, y = -1.094766
t = 30.8856, Touch Move counter-clockwise right, x = 4.611289, y = -1.094766
t = 30.90931, Touch Move counter-clockwise right, x = 4.777163, y = -1.094766
t = 30.94245, Touch Move counter-clockwise right, x = 4.843512, y = -1.094766
t = 30.96424, Touch End, x = 4.843512, y = -1.094766
t = 31.74293, Touch Down, x = 5.307959, y = -4.180017
t = 31.86207, Touch End, x = 4.843512, y = -1.094766
t = 31.93041, Start Question 4
=============================================
t = 33.48234, Start Task 3
=============================================
t = 34.72827, Touch Down, x = 5.374308, y = -4.080493
t = 34.85894, Touch End, x = 0, y = 0
t = 34.89106, Start Question 4
=============================================
t = 35.53486, Start Task 4
=============================================
t = 36.28382, Touch Down, x = -2.58763, y = -2.255882
t = 36.41624, Clicked Circuit 1
t = 36.41624, Touch End, x = 0, y = 0
t = 37.16413, Touch Down, x = 0.6634951, y = -4.213192
t = 37.28009, Show Hint
t = 37.28009, Touch End, x = 0, y = 0
t = 38.45957, Touch Down, x = 5.672881, y = -2.056834
t = 38.5589, Touch End, x = 0, y = 0
t = 38.98963, Touch Down, x = 5.374308, y = 2.886202
t = 39.0559, Touch Move clockwise up, x = 5.374308, y = 2.720329
t = 39.07279, Touch Move clockwise up, x = 5.374308, y = 2.554455
t = 39.09001, Touch Move clockwise up, x = 5.341133, y = 2.355406
t = 39.10658, Touch Move clockwise up, x = 5.307959, y = 2.189533
t = 39.12314, Touch Move clockwise up, x = 5.307959, y = 2.023659
t = 39.13971, Touch Move clockwise up, x = 5.175259, y = 1.725087
t = 39.16038, Touch Move clockwise up, x = 5.10891, y = 1.194291
t = 39.17702, Touch Move clockwise up, x = 5.075735, y = 0.8957177
t = 39.19395, Touch Move clockwise up, x = 5.10891, y = 0.5639707
t = 39.21286, Touch Move clockwise up, x = 5.175259, y = 0.2322229
t = 39.2296, Touch Move clockwise up, x = 5.175259, y = -0.03317471
t = 39.24617, Touch Move clockwise up, x = 5.175259, y = -0.1658735
t = 39.26276, Touch Move clockwise right, x = 5.175259, y = -0.3649221
t = 39.27931, Touch Move clockwise right, x = 5.175259, y = -0.4976209
t = 39.29587, Touch Move clockwise right, x = 5.142085, y = -0.5639707
t = 39.31244, Touch Move clockwise right, x = 5.10891, y = -0.6303201
t = 39.34557, Touch Move clockwise right, x = 5.10891, y = -0.6634948
t = 39.36213, Touch Move clockwise right, x = 5.075735, y = -0.6634948
t = 39.38081, Touch End, x = 5.075735, y = -0.6634948
t = 39.82811, Touch Down, x = 5.871929, y = -3.1516
t = 39.92751, Touch End, x = 5.075735, y = -0.6634948
t = 40.40794, Touch Down, x = 5.838754, y = -1.26064
t = 40.54048, Touch End, x = 5.075735, y = -0.6634948
t = 40.99106, Touch Down, x = 0.9620672, y = -3.748745
t = 41.10835, Hide Hint
t = 41.10835, Touch End, x = 5.075735, y = -0.6634948
t = 41.60915, Touch Down, x = 0.6966697, y = -2.222708
t = 41.70855, Clicked Circuit 2
t = 41.70855, Touch End, x = 5.075735, y = -0.6634948
t = 42.56124, Touch Down, x = 0.8625435, y = -1.990484
t = 42.66054, Touch End, x = 5.075735, y = -0.6634948
t = 43.15754, Touch Down, x = 3.582871, y = -2.620805
t = 43.27358, Clicked Circuit 3
t = 43.27358, Touch End, x = 5.075735, y = -0.6634948
t = 43.82379, Touch Down, x = 3.649221, y = -2.355407
t = 43.90662, Clicked Circuit 3
t = 43.90662, Touch End, x = 5.075735, y = -0.6634948
t = 44.95547, Touch Down, x = 3.582871, y = -4.213192
t = 45.05487, Touch End, x = 5.075735, y = -0.6634948
t = 45.07284, Start Question 4
